품목기준코드,제품명,제품영문명,업체명,업체영문명,허가일,품목구분,허가번호,취소/취하,취소/취하일자,주성분,첨가제,품목분류,전문의약품,완제/원료,허가/신고,제조/수입,마약구분,모양,색상,제형,장축,단축,신약구분,표준코드명,ATC코드,묶음의약품정보,e은약요,수입제조국,주성분영문
202204689,시크릿데이블랙캣생리대슈퍼롱,,주식회사하이베러,,2022-12-29,의약외품,5147,정상,,,"폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제A2,열용융접착제B1,부직포",생리대,,,신고,제조,,,,,,,N,,,,,,
202300068,시크릿데이블랙캣생리대소형,,주식회사하이베러,,2023-01-05,의약외품,5148,정상,,,"폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,,,신고,제조,,,,,,,N,,,,,,
202204658,시크릿데이블랙캣생리대중형,,주식회사하이베러,,2022-12-27,의약외품,5143,정상,,,"폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,,,신고,제조,,,,,,,N,,,,,,
202300080,시크릿데이블랙캣생리대대형,,주식회사하이베러,,2023-01-06,의약외품,5149,정상,,,"폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,,,신고,제조,,,,,,,N,,,,,,
202106076,시크릿데이블랙캣입는오버나이트특대형,,주식회사하이베러,,2021-08-20,의약외품,5101,정상,,,"폴리우레탄섬유,폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제A3",생리대,,,허가,제조,,,,,,,N,,,,,,
202303318,시크릿데이블랙캣입는오버나이트소형,,주식회사하이베러,,2023-12-11,의약외품,5168,정상,,,"폴리우레탄섬유,폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제A3",생리대,,,허가,제조,,,,,,,N,,,,,,
202106075,시크릿데이블랙캣입는오버나이트중대형에이,,주식회사하이베러,,2021-08-20,의약외품,5100,정상,,,"폴리우레탄섬유,폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제A3",생리대,,,허가,제조,,,,,,,N,,,,,,
202107832,시크릿데이블랙캣입는오버나이트중대형,,주식회사하이베러,,2021-12-07,의약외품,5116,정상,,,"폴리우레탄섬유,폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제A3",생리대,,,허가,제조,,,,,,,N,,,,,,
202300292,시크릿데이블랙캣팬티라이너롱,,주식회사하이베러,,2023-01-18,의약외품,5153,정상,,,"폴리에틸렌필름,흡수지,열용융접착제B1,부직포,열용융접착제B2",생리대,,,신고,제조,,,,,,,N,,,,,,
202204542,시크릿데이블랙캣팬티라이너,,주식회사하이베러,,2022-12-20,의약외품,5141,정상,,,"폴리에틸렌필름,흡수지,열용융접착제B1,부직포,열용융접착제B2",생리대,,,신고,제조,,,,,,,N,,,,,,
201907660,시크릿데이샬롯생리대중형,,주식회사하이베러,,2019-11-01,의약외품,5040,정상,,,"폴리에틸렌필름,열용융접착제(TECHNOMELT DM 2879),흡수지,폴리아크릴산나트륨,열용융접착제(TECHNOMELT DF 7063),면상펄프,부직포",생리대,,,신고,제조,,,,,,,N,,,,,,
201907661,시크릿데이샬롯생리대대형,,주식회사하이베러,,2019-11-01,의약외품,5041,정상,,,"폴리에틸렌필름,열용융접착제(TECHNOMELT DM 2879),흡수지,폴리아크릴산나트륨,열용융접착제(TECHNOMELT DF 7063),면상펄프,부직포",생리대,,,신고,제조,,,,,,,N,,,,,,
201804152,시크릿데이샬롯팬티라이너,,주식회사하이베러,,2018-10-22,의약외품,5022,정상,,,"폴리에틸렌필름,열용융접착제(TECHNOMELT DM 2879),흡수지,열용융접착제(TECHNOMELT DF 7063),부직포",생리대,의약외품,,신고,제조,,,,,,,N,,,,,,
201804153,시크릿데이샬롯팬티라이너롱,,주식회사하이베러,,2018-10-22,의약외품,5023,정상,,,"폴리에틸렌필름,열용융접착제(TECHNOMELT DM 2879),흡수지,열용융접착제(TECHNOMELT DF 7063),부직포",생리대,의약외품,,신고,제조,,,,,,,N,,,,,,
202204297,시크릿데이센스대형(수출용),,주식회사하이베러,,2022-11-29,의약외품,5138,정상,,,"폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,,,신고,제조,,,,,,,N,,,,,,
202204296,시크릿데이센스중형(수출용),,주식회사하이베러,,2022-11-29,의약외품,5137,정상,,,"폴리에틸렌필름,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,,,신고,제조,,,,,,,N,,,,,,
202204295,시크릿데이센스팬티라이너(수출용),,주식회사하이베러,,2022-11-29,의약외품,5136,정상,,,"폴리에틸렌필름,흡수지,열용융접착제B1,부직포,열용융접착제B2",생리대,,,신고,제조,,,,,,,N,,,,,,
201904756,시크릿데이소프트미피팬티라이너,,주식회사하이베러,,2019-07-16,의약외품,5033,정상,,,"폴리에틸렌필름,열용융접착제(TECHNOMELT DM 2879),흡수지,열용융접착제(TECHNOMELT DF 7063),부직포",생리대,,,신고,제조,,,,,,,N,,,,,,
201904757,시크릿데이소프트미피팬티라이너롱,,주식회사하이베러,,2019-07-16,의약외품,5034,정상,,,"폴리에틸렌필름,열용융접착제(TECHNOMELT DM 2879),흡수지,열용융접착제(TECHNOMELT DF 7063),부직포",생리대,,,신고,제조,,,,,,,N,,,,,,
202000497,시크릿데이소프트슈퍼롱오버나이트,,주식회사하이베러,,2020-01-30,의약외품,59,정상,,,"폴리우레탄섬유,열용융접착제 H3,열용융접착제 H2,폴리에틸렌필름,열용융접착제 H4,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제 H1,부직포",생리대,,,신고,수입,,,,,,,N,,,,,중국,
201803396,시크릿데이소프트슬림중형날개형,,주식회사하이베러,,2018-08-20,의약외품,5015,정상,,,"아크릴산아크릴산나트륨공중합체,폴리에틸렌필름,흡수지,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,의약외품,,신고,제조,,,,,,,N,,,,,,
201803397,시크릿데이소프트슬림대형날개형,,주식회사하이베러,,2018-08-20,의약외품,5016,정상,,,"아크릴산·아크릴산나트륨공중합체,폴리에틸렌필름,흡수지,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,의약외품,,신고,제조,,,,,,,N,,,,,,
202000496,시크릿데이소프트오버나이트,,주식회사하이베러,,2020-01-30,의약외품,58,정상,,,"폴리우레탄섬유,열용융접착제 H3,열용융접착제 H2,폴리에틸렌필름,열용융접착제 H4,흡수지,폴리아크릴산나트륨,면상펄프,열용융접착제 H1,부직포",생리대,,,신고,수입,,,,,,,N,,,,,중국,
201803876,시크릿데이소프트팬티라이너에이,,주식회사하이베러,,2018-10-01,의약외품,5019,정상,,,"폴리에틸렌필름,흡수지,열용융접착제B1,부직포,열용융접착제B2",생리대,의약외품,,신고,제조,,,,,,,N,,,,,,
201803395,시크릿데이소프트팬티라이너,,주식회사하이베러,,2018-08-20,의약외품,5014,정상,,,"폴리에틸렌필름,흡수지,열용융접착제B1,부직포,열용융접착제B2",생리대,의약외품,,신고,제조,,,,,,,N,,,,,,
201103727,시크릿데이순면커버팬티라이너(팬티라이너),,(주)에스에스오케이(SSOK),,2011-06-08,의약외품,9,정상,,,"아크릴산아크릴산나트륨공중합체,폴리에틸렌필름,면상펄프,부직포,스티렌부타디엔블록코폴리머/하이드로게네이티드 폴리테르펜 점착제(DJ-100)",생리대,의약외품,,신고,수입,,,,,,,N,,,,,중국,
201103728,시크릿데이순면커버팬티라이너롱(팬티라이너),,(주)에스에스오케이(SSOK),,2011-06-08,의약외품,10,정상,,,"아크릴산아크릴산나트륨공중합체,폴리에틸렌필름,면상펄프,부직포,스티렌부타디엔블록코폴리머/하이드로게네이티드 폴리테르펜 점착제(DJ-100)",생리대,의약외품,,신고,수입,,,,,,,N,,,,,중국,
202400921,시크릿데이순한코튼대형,,주식회사하이베러,,2024-04-22,의약외품,5190,정상,,,"폴리에틸렌필름,흡수지,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,,,허가,제조,,,,,,,N,,,,,,
202400965,시크릿데이순한코튼소형,,주식회사하이베러,,2024-04-24,의약외품,5194,정상,,,"폴리에틸렌필름,흡수지,면상펄프,열용융접착제B1,부직포,열용융접착제B2",생리대,,,허가,제조,,,,,,,N,,,,,,
