품목기준코드,제품명,제품영문명,업체명,업체영문명,허가일,품목구분,허가번호,취소/취하,취소/취하일자,주성분,첨가제,품목분류,전문의약품,완제/원료,허가/신고,제조/수입,마약구분,모양,색상,제형,장축,단축,신약구분,표준코드명,ATC코드,묶음의약품정보,e은약요,수입제조국,주성분영문
200401118,태극레보설피리드정(레보설피리드),Levosulpiride Tab. Taiguk,태극제약(주),"TAI GUK PHARM. Co., Ltd.",2004-04-14,의약품,201,정상,,레보설피리드,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,전분글리콜산나트륨",,전문의약품,완제의약품,신고,제조,,타원형,,,7.7,5.1,N,"8806448020004,8806448020011,8806448020028,8806448020035",A03FA,,,,Levosulpiride
201403965,태극레보플록사신점안액(레보플록사신수화물)(수출용),Levofloxacin Eye Drops Taiguk,태극제약(주),"TAI GUK PHARM. Co., Ltd.",2014-08-26,의약품,5047,정상,,레보플록사신수화물,"수산화나트륨,염화나트륨,염산,멸균정제수",,전문의약품,완제의약품,신고,제조,,,,,,,N,"8806448052302,8806448052319",S01AE05,,,,Levofloxacin Hydrate
200703465,태극바시트라신아연연고(수출명 : 바시트라신 퍼스트에이드 안티바이오틱연고)(수출용),Taiguk Bacitracin Zinc Ointment (Export Name: Bacitracin First Aid Antibiotic Ointment) (For Export),태극제약(주),"TAI GUK PHARM. Co., Ltd.",2007-03-27,의약품,330,정상,,바시트라신아연,"유동파라핀,백색바셀린",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806448020806,8806448020813,8806448020820",D06AX05,,,,Bacitracin Zinc
200300821,태극바시트라신연고(수출용),Bacitracin Ointment,태극제약(주),"TAI GUK PHARM. Co., Ltd.",2003-04-22,의약품,173,정상,,바시트라신,"알로에베라겔,유동파라핀,백색바셀린",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806448020905,8806448020912,8806448020929,8806448020936,8806448020943",D06AX05,,,,Bacitracin
200401120,태극세파클러캡슐(세파클러수화물),Cefaclor Cap. Taiguk,태극제약(주),"TAI GUK PHARM. Co., Ltd.",2004-04-28,의약품,203,정상,,세파클러수화물,"스테아르산마그네슘,전호화전분,캡슐",,전문의약품,완제의약품,신고,제조,,장방형,,,17.60,6.07,N,"8806448021704,8806448021711,8806448021728",J01DC04,200401120,,,Cefaclor Hydrate
200401112,태극세픽심캡슐(세픽심수화물)(수출명 : CEFXIZINS CAPSULE)(수출용),Cefixime Cap. Taiguk,태극제약(주),"TAI GUK PHARM. Co., Ltd.",2004-06-17,의약품,296,정상,,세픽심수화물,"유당수화물,스테아르산마그네슘,(상ㆍ하)황색캡슐",,전문의약품,완제의약품,신고,제조,,,,,,,N,8806448021902,J01DD08,,,,Cefixime Hydrate
199301085,태극시메티딘정,Cimetidine Tab. Taiguk,태극제약(주),"TAI GUK PHARM. Co., Ltd.",1993-06-16,의약품,80,정상,,시메티딘,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,유당수화물,황색 4호,스테아르산마그네슘,옥수수전분,전분글리콜산나트륨,청색 1호",,전문의약품,완제의약품,신고,제조,,원형,,,10,10,N,"8806448022008,8806448022015,8806448022022,8806448022039",A02BA01,199301085,,,Cimetidine
200401145,태극심바스타틴정,Simvastatin Tab. Taiguk,태극제약(주),"TAI GUK PHARM. Co., Ltd.",2004-05-03,의약품,251,정상,,심바스타틴,"콜로이달실리콘디옥사이드,미결정셀룰로오스,유당수화물,시트르산,부틸히드록시아니솔,스테아르산마그네슘,오파드라이03F42101옐로우,옥수수전분,히드록시프로필셀룰로오스",,전문의약품,완제의약품,신고,제조,,타원형,,,11.5,6.6,N,"8806448022206,8806448022213,8806448022220",C10AA01,200401145,,,Simvastatin
200401110,태극아세클로페낙정,Aceclofenac Tab. Taiguk,태극제약(주),"TAI GUK PHARM. Co., Ltd.",2004-05-03,의약품,293,정상,,아세클로페낙,"미결정셀룰로오스,히프로멜로오스,산화티탄,포비돈,스테아르산마그네슘,탤크,옥수수전분",,전문의약품,완제의약품,신고,제조,,원형,,,8,8,N,"8806448022305,8806448022312,8806448022329",M01AB16,,,,Aceclofenac
199301081,태극아시클로버크림,Taiguk Acyclovir Cream,태극제약(주),"TAI GUK PHARM. Co., Ltd.",1993-05-11,의약품,49,정상,,아시클로버,"폴리에틸렌글리콜400,트롤아민,부틸히드록시톨루엔,메틸파라벤,디프로필렌글리콜,프로필파라벤,조합향료(스킨케어 23538),카보머934P,세토스테아릴알코올,스테아릴알코올,농글리세린,정제수",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806448022503,8806448022510,8806448022527",D06BB03,,199301081,,Acyclovir
